,country,state,city,station,last_update,latitude,longitude,pollutant_id,min_pollution,max_pollution,avg_pollution
576,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",2025-04-03 20:00:00,28.557054,77.453663,OZONE,1.0,160.0,105.0
577,India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",2025-04-03 20:00:00,28.725645,77.749675,NH3,8.0,13.0,10.0
578,India,Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",2025-04-03 20:00:00,28.725645,77.749675,CO,1.0,108.0,73.0
579,India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB",2025-04-03 20:00:00,28.999264,77.7590354,NO2,22.833990795529257,84.25476660092045,48.303747534516766
580,India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",2025-04-03 20:00:00,28.9535882,77.7622941,PM2.5,12.0,249.0,79.0
581,India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",2025-04-03 20:00:00,28.9535882,77.7622941,CO,14.0,94.0,26.0
582,India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",2025-04-03 20:00:00,29.06351,77.709723,PM10,67.0,213.0,147.0
583,India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",2025-04-03 20:00:00,29.06351,77.709723,CO,29.0,138.0,78.0
584,India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",2025-04-03 20:00:00,28.646233,77.358075,PM2.5,34.0,326.0,199.0
585,India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",2025-04-03 20:00:00,28.757294,77.278792,PM2.5,180.0,500.0,381.0
586,India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",2025-04-03 20:00:00,28.685382,77.453839,PM2.5,22.833990795529257,84.25476660092045,48.303747534516766
587,India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",2025-04-03 20:00:00,25.4547,78.6039,SO2,47.0,84.0,59.0
588,India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",2025-04-03 20:00:00,26.509954,80.249612,PM10,53.0,190.0,112.0
589,India,Uttar_Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2025-04-03 20:00:00,28.47272,77.482,SO2,1.0,61.0,17.0
590,India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",2025-04-03 20:00:00,28.6603346,77.3572563,NO2,6.0,153.0,78.0
591,India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",2025-04-03 20:00:00,26.4703136,80.3229863,NO2,41.0,74.0,53.0
592,India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB",2025-04-03 20:00:00,28.2348927,77.8683002,NH3,1.0,1.0,1.0
593,India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",2025-04-03 20:00:00,25.32393,82.99687,PM2.5,23.0,78.0,47.0
594,India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",2025-04-03 20:00:00,25.32393,82.99687,NH3,1.0,1.0,1.0
595,India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",2025-04-03 20:00:00,25.32393,82.99687,OZONE,1.0,28.0,12.0
596,India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",2025-04-03 20:00:00,27.571409,77.655757,PM10,20.0,158.0,71.0
597,India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",2025-04-03 20:00:00,30.269444,78.044167,PM10,22.0,143.0,89.0
598,India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB",2025-04-03 20:00:00,29.2124114,78.9611753,PM2.5,64.0,96.0,79.0
599,India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",2025-04-03 20:00:00,28.83526,78.7446,CO,30.0,53.0,36.0
600,India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",2025-04-03 20:00:00,28.840739,78.697531,NH3,6.0,12.0,9.0
601,India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",2025-04-03 20:00:00,28.840739,78.697531,OZONE,6.0,159.0,100.0
602,India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",2025-04-03 20:00:00,28.88528,78.7388,SO2,27.0,36.0,30.0
603,India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",2025-04-03 20:00:00,28.856664,78.772638,PM10,59.0,149.0,99.0
604,India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",2025-04-03 20:00:00,28.856664,78.772638,NO2,25.0,25.0,25.0
605,India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",2025-04-03 20:00:00,25.425602,81.917152,CO,14.0,59.0,29.0
606,India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",2025-04-03 20:00:00,25.425602,81.917152,OZONE,6.0,90.0,53.0
607,India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",2025-04-03 20:00:00,25.494,81.863,PM2.5,36.0,112.0,69.0
608,India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",2025-04-03 20:00:00,25.44919916,81.82735986,NH3,16.0,18.0,17.0
609,India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",2025-04-03 20:00:00,25.44919916,81.82735986,CO,10.0,48.0,14.0
610,India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",2025-04-03 20:00:00,25.44919916,81.82735986,OZONE,11.0,12.0,11.0
611,India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",2025-04-03 20:00:00,23.685297,86.945968,PM10,84.0,377.0,135.0
612,India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",2025-04-03 20:00:00,23.697936,86.944395,PM10,75.0,257.0,144.0
613,India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",2025-04-03 20:00:00,23.697936,86.944395,NO2,11.0,56.0,34.0
614,India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",2025-04-03 20:00:00,23.697936,86.944395,SO2,5.0,13.0,8.0
615,India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",2025-04-03 20:00:00,23.618183,87.105718,PM2.5,32.0,324.0,116.0
