country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","03-04-2025 20:00:00",15.3714823,75.1160168,OZONE,13,20,18
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","03-04-2025 20:00:00",17.321993,76.822628,NO2,5,13,11
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","03-04-2025 20:00:00",17.321993,76.822628,CO,22,49,23
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","03-04-2025 20:00:00",12.920984,77.584908,NO2,16,17,16
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","03-04-2025 20:00:00",13.0270199,77.494094,PM10,66,100,79
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","03-04-2025 20:00:00",13.0270199,77.494094,CO,25,66,46
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","03-04-2025 20:00:00",14.475800,75.905200,CO,28,30,29
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","03-04-2025 20:00:00",14.475800,75.905200,OZONE,18,19,19
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","03-04-2025 20:00:00",12.920984,77.584908,PM2.5,23,77,53
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","03-04-2025 20:00:00",11.55358,76.55521,SO2,3,7,4
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","03-04-2025 20:00:00",16.172806,75.659694,SO2,7,7,7
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","03-04-2025 20:00:00",13.377516,77.099072,SO2,3,8,6
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","03-04-2025 20:00:00",13.377516,77.099072,CO,55,58,57
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","03-04-2025 20:00:00",16.7602,77.1428,PM10,60,133,78
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","03-04-2025 20:00:00",16.7602,77.1428,NH3,3,4,3
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","03-04-2025 20:00:00",10.532400,76.215900,OZONE,27,28,28
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","03-04-2025 20:00:00",23.264759,77.381568,PM2.5,33,90,58
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","03-04-2025 20:00:00",23.264759,77.381568,PM10,68,198,94
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","03-04-2025 20:00:00",8.8787,76.6073,NO2,9,10,9
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","03-04-2025 20:00:00",8.8787,76.6073,NH3,1,1,1
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","03-04-2025 20:00:00",8.5149093,76.9435879,NH3,2,3,2
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","03-04-2025 20:00:00",12.733409,77.298051,NH3,1,1,1
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","03-04-2025 20:00:00",12.733409,77.298051,CO,8,50,16
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","03-04-2025 20:00:00",13.940000,75.555917,CO,4,36,20
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","03-04-2025 20:00:00",10.073232,76.302765,CO,10,100,75
